sid,generation,fitness,duration_mean,waiting_mean,time_loss,speed,sin_llegar,trabada,pasos,vehicles
0,0,0.0037275096401572227,189.484,71.629,119.2,7.84,0,False,1371,763.0
1,0,0.0031579595524817705,219.164,88.633,148.86,7.03,0,False,1467,763.0
2,0,0.003514232812449336,201.875,75.165,131.59,7.29,0,False,1360,763.0
3,0,0.0028774093370884657,234.78,102.505,164.49,6.72,0,False,1449,763.0
4,0,0.003322259057313204,210.938,81.874,140.62,7.16,0,False,1419,763.0
5,0,0.0031616641208529472,218.693,88.723,148.39,7.03,0,False,1483,763.0
6,0,0.002427260624244809,266.809,131.98,196.51,6.37,0,False,1865,763.0
7,0,0.003313395194709301,211.651,81.958,141.35,7.02,0,False,1392,763.0
8,0,0.001702665351331234,351.4,214.468,281.15,6.2,0,False,2995,763.0
9,0,0.003032970940694213,225.469,94.764,155.22,6.97,0,False,1515,763.0
10,0,0.0027157808654010296,244.919,112.09,174.65,6.66,0,False,1810,763.0
11,0,0.0022256725933402777,284.278,150.022,214.0,6.23,0,False,2174,763.0
12,0,0.0032452824525535107,214.351,85.262,144.05,6.9,0,False,1364,763.0
13,0,0.00312707107514143,220.409,90.345,150.11,6.89,0,False,1492,763.0
14,0,0.0029447521083056927,230.64,99.043,160.37,6.67,0,False,1450,763.0
15,0,0.0032366893719881773,215.08,85.343,144.81,6.93,0,False,1415,763.0
16,0,0.003357339184731245,209.476,80.345,139.17,7.14,0,False,1389,763.0
17,0,0.002562410430982709,255.338,122.654,185.08,6.47,0,False,1813,763.0
18,0,0.0031971950083971024,216.921,87.139,146.65,7.03,0,False,1528,763.0
19,0,0.002174136694520712,289.62,154.848,219.32,6.05,0,False,1825,763.0
20,1,0.0033581105526536703,209.093,80.63,138.8,7.09,0,False,1400,763.0
21,1,0.003297952003777027,211.95,82.971,141.67,7.21,0,False,1417,763.0
22,1,0.003280513919889927,212.383,84.043,142.1,6.92,0,False,1419,763.0
23,1,0.0035057200584560633,202.996,74.775,132.72,7.28,0,False,1346,763.0
24,1,0.003470674389973283,204.439,76.081,134.16,7.26,0,False,1418,763.0
25,1,0.0034288696479052305,206.275,77.606,135.98,7.19,0,False,1453,763.0
26,1,0.003384321229532361,208.902,78.708,138.59,7.11,0,False,1341,763.0
27,1,0.003658086294308305,197.304,69.148,127.02,7.47,0,False,1350,763.0
28,1,0.002472466789186001,263.405,128.227,193.09,6.43,0,False,1744,763.0
29,1,0.003325287951156497,211.388,81.216,141.11,7.12,0,False,1441,763.0
30,1,0.0033104808535426855,212.051,81.836,141.75,7.03,0,False,1394,763.0
31,1,0.003206907771527767,216.476,86.683,146.14,6.96,0,False,1491,763.0
32,1,0.003175877034664154,217.537,88.488,147.26,6.92,0,False,1377,763.0
33,1,0.0023694040719419718,272.345,136.093,202.09,6.4,0,False,1772,763.0
34,1,0.0032828752882778645,212.889,83.384,142.62,7.12,0,False,1409,763.0
35,1,0.0027400527615100145,243.772,110.168,173.48,6.71,0,False,1498,763.0
36,1,0.003308933461084962,211.662,82.318,141.38,7.09,0,False,1384,763.0
37,1,0.003076615510508418,223.051,92.71,152.75,6.87,0,False,1403,763.0
38,1,0.003456937614828348,205.547,76.115,135.27,7.3,0,False,1403,763.0
39,2,0.0035161455161869526,203.279,73.748,132.98,7.31,0,False,1350,763.0
40,2,0.0032680172007530928,213.961,83.668,143.66,7.06,0,False,1377,763.0
41,2,0.0036329892463982105,198.214,70.038,127.92,7.44,0,False,1430,763.0
42,2,0.003548482432961464,201.545,72.969,131.25,7.26,0,False,1351,763.0
43,2,0.0033851696643978357,208.691,78.832,138.41,7.2,0,False,1419,763.0
44,2,0.003309081308543682,211.811,82.17,141.5,7.11,0,False,1364,763.0
45,2,0.0035141115076839924,202.512,74.595,132.21,7.33,0,False,1369,763.0
46,2,0.0036519302520900965,197.381,69.497,127.09,7.46,0,False,1351,763.0
47,2,0.003596681635826826,200.299,70.668,129.98,7.34,0,False,1335,763.0
48,2,0.0035362024791538715,202.139,73.318,131.88,7.35,0,False,1341,763.0
49,2,0.0034229783341288567,206.676,77.697,136.38,7.22,0,False,1487,763.0
50,2,0.003618336282670498,198.961,70.372,128.69,7.41,0,False,1401,763.0
51,2,0.0035899411886930466,200.326,71.118,130.03,7.38,0,False,1396,763.0
52,2,0.0034205305855721235,206.244,78.28,135.95,7.26,0,False,1483,763.0
53,2,0.003621283220127225,199.191,69.958,128.9,7.39,0,False,1368,763.0
54,2,0.003626017365604639,198.472,70.284,128.18,7.44,0,False,1400,763.0
55,2,0.0034605872351676226,204.907,76.419,134.63,7.28,0,False,1423,763.0
56,2,0.0035788179375231266,200.765,71.506,130.5,7.35,0,False,1375,763.0
57,2,0.0034798469860106707,204.768,75.092,134.49,7.29,0,False,1478,763.0
58,3,0.0036660870537161827,196.927,68.949,126.64,7.48,0,False,1362,763.0
59,3,0.0032767930533736944,212.151,84.569,141.86,7.09,0,False,1447,763.0
60,3,0.003217092016711831,214.684,87.414,144.38,7.07,0,False,1482,763.0
61,3,0.0036420170217752457,197.857,69.742,127.57,7.54,0,False,1393,763.0
62,3,0.0035245020408183336,202.511,73.834,132.21,7.31,0,False,1393,763.0
63,3,0.003384573617950082,207.969,79.536,137.67,7.22,0,False,1422,763.0
64,3,0.0036578867584466934,195.886,70.451,125.59,7.59,0,False,1384,763.0
65,3,0.0035571809858083725,201.646,72.25,131.35,7.34,0,False,1365,763.0
66,3,0.0036293966695666313,198.214,70.286,127.93,7.44,0,False,1350,763.0
67,3,0.0034908531233668327,202.9,75.966,132.62,7.41,0,False,1495,763.0
68,3,0.0036371350288391113,196.853,70.99,126.54,7.56,0,False,1422,763.0
69,3,0.003723051631823182,195.397,66.545,125.13,7.5,0,False,1393,763.0
70,3,0.0036742007359862328,196.679,68.626,126.36,7.51,0,False,1401,763.0
71,3,0.0034205184783786535,204.864,79.536,134.57,7.33,0,False,1414,763.0
72,3,0.003474057652056217,203.972,76.25,133.7,7.2,0,False,1448,763.0
73,3,0.0035515150520950556,201.645,72.659,131.38,7.34,0,False,1401,763.0
74,3,0.0035884433891624212,200.49,71.075,130.22,7.38,0,False,1483,763.0
75,3,0.003581003053113818,199.385,72.606,129.09,7.49,0,False,1388,763.0
76,3,0.003484869608655572,203.662,75.721,133.34,7.38,0,False,1423,763.0
77,4,0.0037090580444782972,195.067,67.767,124.8,7.59,0,False,1372,763.0
78,4,0.0036999641451984644,195.49,67.984,125.19,7.54,0,False,1350,763.0
79,4,0.003742122557014227,194.135,66.448,123.88,7.6,0,False,1392,763.0
80,4,0.003449228359386325,204.819,77.364,134.48,7.45,0,False,1421,763.0
81,4,0.003601411124691367,198.803,71.696,128.51,7.44,0,False,1468,763.0
82,4,0.003720221808180213,194.911,67.173,124.59,7.55,0,False,1350,763.0
83,4,0.003686658339574933,196.952,67.543,126.65,7.43,0,False,1394,763.0
84,4,0.0035880233626812696,199.169,72.305,128.89,7.52,0,False,1483,763.0
85,4,0.0034412634558975697,205.678,77.194,135.36,7.32,0,False,1402,763.0
86,4,0.0035974786151200533,200.05,70.839,129.76,7.41,0,False,1406,763.0
87,4,0.003573527792468667,201.026,71.645,130.77,7.41,0,False,1393,763.0
88,4,0.003666737349703908,196.098,69.658,125.83,7.57,0,False,1393,763.0
89,4,0.0037667537108063698,192.882,65.999,122.6,7.56,0,False,1388,763.0
90,4,0.003707371186465025,195.758,67.25,125.46,7.5,0,False,1350,763.0
91,4,0.0036202913615852594,199.286,69.941,129.01,7.44,0,False,1483,763.0
92,4,0.0036945343017578125,195.497,68.339,125.19,7.53,0,False,1340,763.0
93,4,0.0036496822722256184,197.626,69.427,127.33,7.48,0,False,1378,763.0
94,4,0.0037253601476550102,195.375,66.414,125.08,7.55,0,False,1394,763.0
95,4,0.0036003082059323788,200.043,70.646,129.77,7.41,0,False,1395,763.0
96,5,0.0036878071259707212,196.543,67.837,126.24,7.53,0,False,1369,763.0
97,5,0.0036509481724351645,197.957,69.041,127.68,7.51,0,False,1392,763.0
98,5,0.0037476231809705496,193.661,66.523,123.39,7.53,0,False,1428,763.0
99,5,0.0035328329540789127,201.619,74.037,131.35,7.3,0,False,1372,763.0
100,5,0.0037310824263840914,194.547,66.793,124.25,7.52,0,False,1372,763.0
101,5,0.0035034455358982086,204.056,73.979,133.76,7.34,0,False,1395,763.0
102,5,0.0035645028110593557,201.567,71.797,131.28,7.4,0,False,1374,763.0
103,5,0.003641531802713871,197.722,69.898,127.43,7.45,0,False,1392,763.0
104,5,0.003616958623751998,198.932,70.494,128.67,7.43,0,False,1350,763.0
105,5,0.003552650799974799,201.507,72.702,131.19,7.4,0,False,1392,763.0
106,5,0.003676001215353608,196.786,68.408,126.51,7.51,0,False,1392,763.0
107,5,0.00357228796929121,200.502,72.21,130.22,7.39,0,False,1424,763.0
108,5,0.003713251557201147,195.3,67.278,125.04,7.48,0,False,1420,763.0
109,5,0.0035573334898799658,201.45,72.418,131.16,7.39,0,False,1394,763.0
110,5,0.003499308368191123,203.983,74.353,133.72,7.38,0,False,1402,763.0
111,5,0.003766188398003578,193.19,65.755,122.88,7.64,0,False,1371,763.0
