sid,generation,fitness,duration_mean,waiting_mean,time_loss,speed,sin_llegar,trabada,pasos,vehicles
0,0,0.0037275096401572227,189.484,71.629,119.2,7.84,0,False,,763.0
1,0,0.0025700887199491262,255.377,121.558,185.11,6.68,0,False,,763.0
2,0,0.0025750065688043833,253.74,122.371,183.44,6.74,0,False,,763.0
3,0,0.0028977636247873306,233.14,101.776,162.88,6.92,0,False,,763.0
4,0,0.003326315898448229,211.048,81.44,140.75,7.2,0,False,,763.0
5,0,0.0032586492598056793,213.67,84.733,143.37,6.97,0,False,,763.0
6,0,0.0022489051334559917,282.368,147.539,212.07,6.16,0,False,,763.0
7,0,0.0018173251301050186,334.385,196.249,264.12,6.2,0,False,,763.0
8,0,0.00294413510710001,230.663,99.087,160.41,6.84,0,False,,763.0
9,0,0.003434565383940935,205.402,77.959,135.11,7.22,0,False,,763.0
10,0,0.0031491343397647142,220.064,88.621,149.78,6.91,0,False,,763.0
11,0,0.002492355415597558,260.619,127.826,190.28,6.64,0,False,,763.0
12,0,0.003412957303225994,206.849,78.32,136.55,7.29,0,False,,763.0
13,0,0.0026323196943849325,250.453,117.672,180.19,6.49,0,False,,763.0
14,0,0.0030231266282498837,226.165,95.107,155.9,6.9,0,False,,763.0
15,0,0.0032161008566617966,216.177,86.144,145.9,7.13,0,False,,763.0
16,0,0.0034790474455803633,204.655,75.254,134.36,7.23,0,False,,763.0
17,0,0.0025781921576708555,254.069,121.636,183.79,6.72,0,False,,763.0
18,0,0.0035792693961411715,199.532,72.595,129.26,7.44,0,False,,763.0
19,0,0.003370866645127535,208.165,80.45,137.87,7.13,0,False,,763.0
20,0,0.0028276718221604824,236.839,106.19,166.55,6.87,0,False,,763.0
21,0,0.0023630617652088404,271.628,137.775,201.34,6.41,0,False,,763.0
22,0,0.003461224725469947,204.545,76.7,134.24,7.26,0,False,,763.0
23,0,0.0029912511818110943,228.385,96.294,158.07,6.71,0,False,,763.0
24,0,0.0031899739988148212,217.554,87.207,147.28,6.94,0,False,,763.0
25,0,0.003357024397701025,210.09,79.811,139.78,7.12,0,False,,763.0
26,0,0.003429156495258212,206.779,77.126,136.5,7.23,0,False,,763.0
27,0,0.002659596735611558,248.674,115.748,178.37,6.66,0,False,,763.0
28,0,0.002130201319232583,294.461,159.071,224.14,6.61,0,False,,763.0
29,0,0.0029004127718508244,233.193,101.442,162.9,6.85,0,False,,763.0
30,1,0.0032665214966982603,214.347,83.444,144.04,6.94,0,False,,763.0
31,1,0.003315598238259554,211.494,81.919,141.19,7.07,0,False,,763.0
32,1,0.003463790751993656,205.114,75.988,134.83,7.28,0,False,,763.0
33,1,0.0030128962825983763,227.13,95.252,156.84,6.74,0,False,,763.0
34,1,0.0030233038123697042,226.172,95.084,155.84,6.89,0,False,,763.0
35,1,0.0033568383660167456,207.186,82.467,136.89,7.19,0,False,,763.0
36,1,0.003432710887864232,205.372,78.13,135.11,7.36,0,False,,763.0
37,1,0.0033692691940814257,209.051,79.772,138.74,7.06,0,False,,763.0
38,1,0.0033876451198011637,207.433,79.78,137.14,7.11,0,False,,763.0
39,1,0.0035480668302625418,201.301,73.22,131.03,7.42,0,False,,763.0
40,1,0.0032475434709340334,213.858,85.515,143.56,7.12,0,False,,763.0
41,1,0.0033255198504775763,209.565,82.855,139.29,7.09,0,False,,763.0
42,1,0.0027830656617879868,239.497,108.927,169.22,6.94,0,False,,763.0
